Date,Day,Temp_avg,Dew_avg,Hum_avg,Wind_avg,Press_avg,Value (kWh),notes
2016-06-01,1,74.8,71.4,89.4,9.5,29.8,29.691,weekday
2016-06-02,2,71.2,70.3,96.8,7.8,29.8,28.789,weekend
2016-06-03,3,72.1,70.0,93.6,4.7,29.8,19.247,weekend
2016-06-04,4,71.2,70.0,96.1,7.0,29.7,22.883,weekday
2016-06-05,5,73.8,70.0,88.7,7.7,29.7,25.195000000000004,weekday
2016-06-06,6,76.6,70.8,84.0,4.7,29.7,29.323,weekday
2016-06-07,7,79.6,70.2,75.2,5.0,29.8,30.321999999999996,weekday
2016-06-08,8,79.3,69.0,73.3,4.8,29.8,40.051,weekend
2016-06-09,9,79.2,69.9,75.3,6.7,29.8,38.667,weekday
2016-06-10,10,80.6,73.3,80.0,5.7,29.8,42.467,weekday
2016-06-11,11,82.0,75.0,79.8,5.4,29.9,54.00099999999999,weekend
2016-06-12,12,78.7,74.7,88.0,6.7,29.9,38.413999999999994,weekday
2016-06-13,13,82.5,75.1,80.0,5.0,29.8,36.864999999999995,weekday
2016-06-14,14,85.7,74.6,70.8,6.3,29.8,46.684,weekday
2016-06-15,15,85.2,74.4,72.3,6.1,29.8,41.779999999999994,weekday
2016-06-16,16,86.5,74.6,69.8,6.5,29.9,43.29200000000001,weekday
2016-06-17,17,85.8,75.1,71.9,5.1,29.8,41.361000000000004,weekday
2016-06-18,18,84.8,73.7,71.0,6.6,29.9,46.41,weekend
2016-06-19,19,82.3,71.5,71.1,5.8,30.0,47.559,weekend
2016-06-20,20,82.9,73.6,75.0,5.0,30.0,38.9,weekday
2016-06-21,21,82.7,73.9,76.1,4.1,30.0,34.485,weekday
2016-06-22,22,83.2,73.3,73.5,7.2,29.9,42.401,weekday
2016-06-23,23,83.8,71.0,66.9,6.0,29.9,40.403999999999996,weekday
2016-06-24,24,82.0,73.4,76.2,6.0,29.9,36.68000000000001,weekday
2016-06-25,25,83.1,74.7,76.7,4.9,29.9,42.348,weekend
2016-06-26,26,84.8,73.8,71.3,3.5,29.9,42.57600000000001,weekend
2016-06-27,27,84.8,74.1,71.8,2.0,29.9,42.929,weekday
2016-06-28,28,82.2,73.8,77.2,5.2,29.9,36.660000000000004,weekday
2016-06-29,29,81.6,73.6,78.3,5.2,29.8,35.047,weekday
2016-06-30,30,83.8,72.7,71.3,6.0,29.8,37.931999999999995,weekday
2016-07-01,1,84.9,74.0,71.6,5.7,29.9,43.17700000000001,weekday
2016-07-02,2,86.2,73.1,67.2,5.5,29.9,59.41,weekend
2016-07-03,3,87.1,74.1,66.5,9.5,29.9,63.001000000000005,weekday
2016-07-04,4,87.7,74.8,66.7,9.5,29.9,58.907999999999994,weekday
2016-07-05,5,87.1,75.3,69.3,9.3,29.9,45.24,weekend
2016-07-06,6,87.0,74.4,67.6,9.9,29.9,43.361,weekday
2016-07-07,7,87.3,75.2,68.9,9.6,29.9,41.83200000000001,weekday
2016-07-08,8,87.0,74.0,67.2,7.9,29.9,43.315999999999995,weekend
2016-07-09,9,86.6,74.6,69.3,7.1,29.9,48.884,weekday
2016-07-10,10,86.0,74.0,69.7,7.4,29.9,44.535,weekday
2016-07-11,11,87.3,72.6,63.8,11.1,29.8,43.727000000000004,weekday
2016-07-12,12,87.4,74.0,66.1,9.6,29.9,43.278000000000006,weekday
2016-07-13,13,88.3,74.6,65.7,8.9,29.9,47.16,weekday
2016-07-14,14,86.7,73.8,68.2,7.4,29.9,48.224,weekday
2016-07-15,15,87.2,73.1,65.8,6.9,29.9,16.695999999999998,vacation
2016-07-16,16,86.0,72.3,66.3,5.6,29.9,16.299,vacation
2016-07-17,17,84.7,73.0,69.3,6.0,29.9,14.245999999999997,vacation
2016-07-18,18,84.1,75.0,75.0,3.5,30.0,13.84,vacation
2016-07-19,19,82.7,75.4,79.3,5.3,30.0,12.329,vacation
2016-07-20,20,85.6,74.0,70.8,3.9,30.0,15.785999999999998,vacation
2016-07-21,21,86.8,71.9,64.8,3.9,30.0,19.101000000000003,vacation
2016-07-22,22,87.5,72.6,64.0,3.4,29.9,64.973,weekday
2016-07-23,23,87.5,73.8,65.4,5.5,29.8,62.58899999999999,weekend
2016-07-24,24,88.3,73.9,64.4,5.5,29.8,56.824999999999996,weekend
2016-07-25,25,85.7,74.0,69.2,6.7,29.8,39.835,weekday
2016-07-26,26,81.1,74.6,81.4,5.1,29.8,33.56400000000001,weekday
2016-07-27,27,79.7,74.6,84.6,4.4,29.9,40.543000000000006,weekday
2016-07-28,28,81.0,75.2,83.5,4.7,29.9,35.123000000000005,weekday
2016-07-29,29,84.5,74.0,72.7,4.4,29.9,50.193,weekday
2016-07-30,30,85.8,73.8,69.7,4.2,29.9,59.391,weekend
2016-07-31,31,85.9,75.0,71.2,5.6,29.9,52.989000000000004,weekend
2016-08-01,1,86.5,73.3,67.3,6.0,29.9,50.057,weekday
2016-08-02,2,87.3,73.9,66.3,4.6,29.9,47.57,weekday
2016-08-03,3,87.4,73.8,66.4,4.5,29.9,49.565999999999995,weekday
2016-08-04,4,87.1,74.4,68.0,4.8,29.8,49.523,weekday
